rank_magnitude,rank_eczi,kawasan,pulse_yoy_2026,kabkota,deskripsi,n_desa_member,desa_members,desa_missing,podes_count_total,magnitude_total,count_hiburan_nightlife,count_gaya_hidup_wellness,count_retail_khusus,count_wisata_budaya,count_layanan_penunjang,catchment_density_1km_total,n_pixels_total,ntl_cagr_2021_2025,ntl_change_2024_2025,ntl_level_2025,podes_cagr_2021_2025,podes_change_2024_2025,magnitude_cagr_2021_2025,podes_diversity_shannon,transport_access_score_raw,g1_cahaya_malam,g2_tempat_usaha,g3_magnitude,g4_gaya_hidup,g5_aksesibilitas,eczi_score,magnitude_score,pulse_badge,tipe_kawasan
6,1,Mega Kuningan,-0.93,Jakarta Selatan,"Office cluster Mega Kuningan dan Karet Kuningan, top emerging post-COVID",3,"Kuningan Timur, Kuningan Barat, Karet Kuningan",,573,21442684912.631207,20,33,9,5,87,284,19,0.0664,0.0054,70.416,0.3535,0.4019,0.5681,1.5083,186.87,69.73,78.99,95.38,43.37,83.51,75.2,82.11,Stabil,Kawasan Komersial Sedang Naik Daun
14,2,Blok M & Sekitarnya,5.37,Jakarta Selatan,"Pusat komersial Kebayoran Baru klasik, mengalami revival 2024-2026",4,"Petogogan, Pulo, Melawai, Kramat Pela",,704,27541682455.84101,7,4,4,5,136,363,20,0.087,0.0461,60.696,0.1081,0.2101,0.3842,1.5241,215.04,84.43,67.9,83.74,22.64,85.6,71.72,77.29,Trend Lanjut Tumbuh,Kawasan Komersial Sedang Naik Daun
11,3,SCBD & Sudirman,3.18,Jakarta Selatan & Pusat,"Kawasan CBD Sudirman-Thamrin corridor, ofise tower premium",4,"Karet Semanggi, Senayan, Bendungan Hilir, Karet Tengsin",Setiabudi,699,19524411830.295303,10,23,3,4,91,312,23,0.0611,0.0741,83.746,0.1892,0.0242,0.382,1.7188,222.12,69.63,65.92,83.57,29.53,82.31,67.67,78.67,Stabil,Kawasan Komersial Mapan
19,4,Cipete & Urban Forest,-3.0,Jakarta Selatan,Kawasan residensial dan kafe Cipete,2,"Cipete Selatan, Cipete Utara",,148,6607238445.672627,1,11,1,1,54,103,18,0.0895,0.0223,47.586,0.0773,0.0,0.3127,1.7451,114.16,84.32,56.11,73.11,20.94,77.44,64.8,73.67,Stabil,Kawasan Komersial Sedang Naik Daun
9,5,Kemang,3.39,Jakarta Selatan,Lifestyle cluster Mampang-Kemang,3,"Pela Mampang, Bangka, Mampang Prapatan",,942,21855605444.234337,6,43,2,3,47,133,26,0.0865,0.0167,50.023,0.0972,-0.0766,0.2091,1.29,136.18,80.7,59.03,71.93,24.51,74.68,64.64,80.07,Stabil,Kawasan Komersial Sedang Naik Daun
4,6,Tanjung Duren & Mall Corridor,4.01,Jakarta Barat,"Corridor mall Taman Anggrek - Central Park - Mall Tanjung Duren, top emerging Jakbar",4,"Tanjung Duren Utara, Tanjung Duren Selatan, Grogol, Tomang",,1247,21789418143.637802,6,57,34,2,184,638,23,0.0914,0.0737,64.364,-0.0863,-0.3061,0.0961,1.2853,232.91,86.56,44.06,59.71,38.05,86.56,63.76,83.01,Stabil,Kawasan Komersial Sedang Naik Daun
3,7,Ancol & Pademangan,-4.79,Jakarta Utara,Kawasan rekreasi dan komersial pesisir,3,"Ancol, Pademangan Timur, Pademangan Barat",,1111,19726897579.306427,5,30,4,8,144,202,43,0.0826,0.0013,48.975,-0.0029,0.0018,0.0747,1.4602,131.79,73.56,56.32,62.57,31.98,80.3,63.02,83.8,Stabil,Kawasan Komersial Sedang Naik Daun
5,8,Pantai Mutiara,11.2,Jakarta Utara,Kawasan residensial elite pesisir,1,Pluit,,125,6129903943.683232,0,17,1,1,116,82,28,0.0769,0.1119,59.912,-0.1514,0.0163,0.1863,1.9114,48.05,87.13,47.26,67.09,28.22,78.34,62.94,82.2,Trend Lanjut Tumbuh,Kawasan Komersial Sedang Naik Daun
8,9,Thamrin & Menteng,6.74,Jakarta Pusat,CBD Pusat klasik dengan office tower dan retail premium,5,"Gondangdia, Menteng, Kebon Sirih, Cikini, Gambir",,685,32583093824.234165,23,32,15,18,170,540,31,0.0338,0.0284,83.075,0.0685,0.0,0.5814,1.4951,248.35,45.1,57.67,87.52,45.97,88.25,62.65,80.56,Trend Lanjut Tumbuh,Kawasan Komersial Mapan
1,10,PIK (Pantai Indah Kapuk),-1.0,Jakarta Utara,"Kawasan komersial reklamasi Pantai Indah Kapuk, salah satu zona pertumbuhan tinggi",3,"Kamal Muara, Kapuk Muara, Pejagalan",,2491,24915706851.014538,3,21,4,3,108,80,100,0.0825,0.024,45.739,0.0221,0.002,0.2451,1.7057,61.15,69.13,60.36,75.66,28.94,61.99,60.7,85.41,Stabil,Kawasan Komersial Sedang Naik Daun
18,11,Sarinah & Tanah Abang,0.52,Jakarta Pusat,Kawasan retail dan grosir tradisional Jakpus,4,"Cideng, Kebon Kacang, Karang Anyar, Petamburan",Tanah Abang,542,19053280916.240715,1,11,16,0,157,522,14,0.041,0.0745,64.118,0.2099,-0.0017,0.4728,1.8739,253.49,53.26,56.51,77.1,17.72,87.05,59.44,73.82,Stabil,Aktivitas Rendah
10,12,Jagakarsa,0.69,Jakarta Selatan,"Emerging residensial-komersial Jaksel selatan, NTL CAGR tinggi",4,"Tanjung Barat, Jagakarsa, Srengseng Sawah, Cipedak",,970,14567607641.374073,2,32,4,3,70,77,72,0.0725,-0.0085,34.061,0.1825,1.6514,0.1927,1.5888,171.78,64.4,56.92,62.08,23.23,70.3,57.92,79.02,Stabil,Kawasan Komersial Sedang Naik Daun
2,13,Kelapa Gading,-0.38,Jakarta Utara,"Kawasan komersial dan kuliner mature, mall + ruko",3,"Kelapa Gading Barat, Kelapa Gading Timur, Pegangsaan Dua",,1471,36319365416.14241,2,17,1,0,121,100,66,0.061,0.031,53.294,0.0062,0.012,0.1337,1.4077,87.25,63.5,58.62,64.18,19.87,67.86,57.6,84.08,Stabil,Aktivitas Rendah
7,14,Pesanggrahan & Bintaro,1.55,Jakarta Selatan,Kawasan residensial-komersial Bintaro corridor,2,"Bintaro, Pesanggrahan",,556,6878082391.292331,0,24,0,0,32,48,29,0.0599,-0.0512,37.652,0.014,0.0,0.2455,1.1319,149.07,48.7,54.12,68.15,16.01,74.04,53.77,80.81,Stabil,Aktivitas Rendah
15,15,Cengkareng,7.45,Jakarta Barat,Kawasan residensial-komersial sekitar bandara Soekarno-Hatta,3,"Cengkareng Timur, Cengkareng Barat, Kapuk",,431,25272077447.7389,0,15,13,1,117,119,54,0.0691,0.029,45.665,-0.0389,-0.0067,0.0878,1.7516,32.3,71.22,47.24,60.57,20.11,57.42,53.24,76.8,Trend Lanjut Tumbuh,Awal Pertumbuhan
13,16,Pluit & Penjaringan,8.12,Jakarta Utara,Kawasan komersial Pluit dan Penjaringan,3,"Pluit, Penjaringan, Kapuk",,535,12768133259.810562,0,22,2,4,190,143,67,0.0612,0.062,51.453,-0.1773,0.002,0.1027,1.9114,62.57,64.63,46.9,59.33,17.9,63.99,52.46,77.63,Trend Lanjut Tumbuh,Aktivitas Rendah
16,17,Cipayung Cluster,1.83,Jakarta Timur,"Emerging zone di selatan Jaktim, terdeteksi via spatial join NTL (CAGR +25-37%) — sebelumnya tidak masuk radar 16 kawasan klasik",6,"Ceger, Bambu Apus, Setu, Cilangkap, Munjul, Pondok Ranggon",,1193,13060358814.577463,6,19,1,55,35,107,90,0.0682,-0.0371,27.689,0.0629,-0.0037,0.3078,1.0956,174.9,55.43,53.4,71.22,15.98,53.04,51.28,75.45,Stabil,Awal Pertumbuhan
12,18,Sunter & Tanjung Priok,-5.33,Jakarta Utara,Kawasan pelabuhan-residensial Jakarta Utara timur,3,"Sunter Jaya, Sunter Agung, Tanjung Priuk",Papanggo,1229,20853679824.812836,0,14,2,0,173,160,60,0.0365,0.0139,58.387,-0.0115,0.0522,-0.0271,1.6379,97.22,42.55,55.55,51.99,14.27,76.29,51.23,78.5,Mulai Melambat,Aktivitas Rendah
21,19,Cawang & Cililitan,-0.08,Jakarta Timur,Kawasan transit Jaktim selatan,4,"Bidara Cina, Cililitan, Cawang, Kebon Pala",,1263,18303610853.967117,0,3,1,0,61,105,28,0.0378,-0.0696,40.697,0.0542,0.0024,0.2887,1.571,159.79,34.44,56.95,75.06,4.5,73.25,50.51,72.2,Stabil,Aktivitas Rendah
20,20,Kalideres,12.91,Jakarta Barat,Kawasan logistik dan residensial barat Jakarta,5,"Pegadungan, Tegal Alur, Kalideres, Kamal, Semanan",,693,21875077448.372864,0,14,2,0,101,67,105,0.0588,-0.0442,38.405,0.0128,-0.0014,0.0478,1.5474,39.6,49.05,53.17,54.58,9.09,44.93,45.4,72.61,Trend Lanjut Tumbuh,Aktivitas Rendah
17,21,Cilincing,-9.96,Jakarta Utara,Kawasan industri-pelabuhan dengan pertumbuhan komersial penyangga,4,"Semper Barat, Cilincing, Semper Timur, Marunda",Sukapura,936,12184480085.916838,0,7,4,3,61,30,89,0.0264,-0.0429,32.726,-0.1261,0.0,0.0471,0.865,51.05,25.26,43.08,53.35,13.24,57.19,39.17,74.39,Mulai Melambat,Aktivitas Rendah
